evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1650130194,14597715,2,643
1650130259,14597716,2,641
1650130270,14597718,1,640
1650130289,14597724,1,639
1650130295,14597725,2,637
1650130333,14597726,5,632
1650130337,14597727,6,626
1650130353,14597729,1,625
1650130419,14597732,3,622
1650130444,14597733,1,621
1650130449,14597734,2,619
1650130485,14597737,2,617
1650130490,14597738,3,614
1650130522,14597741,3,611
1650130542,14597742,1,610
1650130559,14597745,1,609
1650130571,14597746,2,607
1650130583,14597748,1,606
1650130606,14597749,1,605
1650130613,14597750,1,604
1650130623,14597752,1,603
1650130650,14597753,3,600
1650130671,14597756,2,598
1650130694,14597758,4,594
1650130716,14597760,3,591
1650130743,14597761,1,590
1650130782,14597763,1,589
1650130799,14597766,4,585
1650130818,14597768,3,582
1650130829,14597769,1,581
1650130896,14597776,3,578
1650130943,14597777,2,576
1650131010,14597784,3,573
1650131022,14597785,4,569
1650131046,14597787,1,568
1650131065,14597788,2,566
1650131075,14597789,1,565
1650131094,14597791,2,563
1650131108,14597792,3,560
1650131140,14597793,3,557
1650131150,14597794,7,550
1650131189,14597796,1,549
1650131204,14597798,1,548
1650131268,14597802,2,546
1650131280,14597803,1,545
1650131320,14597804,1,544
1650131374,14597807,1,543
1650131406,14597809,3,540
1650131412,14597810,1,539
1650131457,14597812,1,538
1650131459,14597813,2,536
1650131500,14597816,1,535
1650131533,14597818,2,533
1650131565,14597819,1,532
1650131596,14597822,1,531
1650131645,14597827,1,530
1650131682,14597831,1,529
1650131707,14597832,1,528
1650131734,14597837,3,525
1650131747,14597841,1,524
1650131799,14597845,3,521
1650131837,14597850,1,520
1650131938,14597860,3,517
1650131986,14597862,4,513
1650132011,14597866,1,512
1650132042,14597867,1,511
1650132052,14597868,2,509
1650132107,14597873,1,508
1650132115,14597874,1,507
1650132137,14597875,1,506
1650132166,14597876,2,504
1650132181,14597878,1,503
1650132231,14597881,2,501
1650132245,14597882,1,500
1650132289,14597886,2,498
1650132318,14597890,1,497
1650132350,14597892,1,496
1650132405,14597895,1,495
1650132469,14597900,1,494
1650132495,14597901,2,492
1650132558,14597905,1,491
1650132603,14597908,2,489
1650132629,14597910,1,488
1650132650,14597911,1,487
1650132724,14597912,1,486
1650132759,14597914,1,485
1650132783,14597916,1,484
1650132795,14597917,4,480
1650132845,14597922,1,479
1650132850,14597923,1,478
1650132880,14597926,2,476
1650132928,14597928,1,475
1650133019,14597936,3,472
1650133084,14597940,1,471
1650133126,14597942,1,470
1650133169,14597946,1,469
1650133184,14597948,3,466
1650133267,14597955,2,464
1650133326,14597962,2,462
1650133379,14597969,1,461
1650133387,14597970,2,459
1650133469,14597980,2,457
1650133515,14597981,1,456
1650133524,14597984,1,455
1650133591,14597994,1,454
1650133716,14597998,1,453
1650133747,14598002,2,451
1650133776,14598008,1,450
1650133834,14598009,2,448
1650133867,14598012,1,447
1650133982,14598018,1,446
1650133988,14598019,1,445
1650134039,14598023,2,443
1650134113,14598028,2,441
1650134215,14598035,2,439
1650134323,14598038,1,438
1650134411,14598045,2,436
1650134437,14598046,4,432
1650134500,14598050,2,430
1650134535,14598052,2,428
1650134548,14598054,2,426
1650134584,14598056,1,425
1650134597,14598057,2,423
1650134651,14598061,1,422
1650134674,14598062,1,421
1650134716,14598066,1,420
1650134846,14598076,1,419
1650134877,14598078,1,418
1650134926,14598080,4,414
1650135005,14598089,2,412
1650135063,14598091,1,411
1650135102,14598092,1,410
1650135226,14598101,4,406
1650135233,14598102,3,403
1650135263,14598103,1,402
1650135275,14598104,2,400
1650135393,14598112,1,399
1650135443,14598120,3,396
1650135488,14598124,1,395
1650135531,14598128,1,394
1650135633,14598134,152,242
1650135645,14598135,58,184
1650135954,14598163,4,180
1650135986,14598164,2,178
1650136024,14598170,2,176
1650136218,14598184,2,174
1650136335,14598199,2,172
1650136622,14598216,2,170
1650136783,14598224,2,168
1650137479,14598272,2,166
1650137838,14598302,2,164
1650139075,14598397,2,162
1650139556,14598443,2,160
1650139779,14598461,2,158
1650139812,14598463,2,156
1650140389,14598509,2,154
